>> Starting Model Training
Start Time: Wed Dec 17 22:47:31 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: MLWNet
    - model_dim: 32
    - patch_size: (256, 256)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 1300
    - batch_size: 8
    - learning_rate: 0.001
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_06/MLWNet_d32.pth
    - num_workers: 8

Model initialized with 24109164 parameters
Training on device: cuda

No checkpoint provided, starting training from scratch.

Epoch [  1/1300] | Train Loss: -54.771467 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 193.502332 
>> Best model saved with SSIM: 0.81160

Epoch [  2/1300] | Train Loss: -56.236489 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.259057 
Epoch [  3/1300] | Train Loss: -56.472458 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.258981 
Epoch [  4/1300] | Train Loss: -56.838370 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.250351 
Epoch [  5/1300] | Train Loss: -57.025945 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.335870 
Epoch [  6/1300] | Train Loss: -54.601458 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.283350 
Epoch [  7/1300] | Train Loss: -57.075156 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.242073 
Epoch [  8/1300] | Train Loss: -57.233342 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.230567 
Epoch [  9/1300] | Train Loss: -57.507506 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.320920 
Epoch [ 10/1300] | Train Loss: -57.585931 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.370574 
Epoch [ 11/1300] | Train Loss: -57.658881 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.287697 
Epoch [ 12/1300] | Train Loss: -57.834125 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.292440 
Epoch [ 13/1300] | Train Loss: -55.135440 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.321094 
Epoch [ 14/1300] | Train Loss: -56.170562 | Val Loss: -54.075507 | Val PSNR: 28.274779 | Val SSIM: 0.811600 | Learning Rate: 0.001000 | Epoch Time: 68.318035 
Epoch [ 15/1300] | Train Loss: -57.964438 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.001000 | Epoch Time: 194.742045 
>> Best model saved with SSIM: 0.83059

Epoch [ 16/1300] | Train Loss: -58.259857 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.001000 | Epoch Time: 68.215966 
Epoch [ 17/1300] | Train Loss: -58.250607 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.001000 | Epoch Time: 68.307575 
Epoch [ 18/1300] | Train Loss: -58.479579 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.001000 | Epoch Time: 68.335708 
Epoch [ 19/1300] | Train Loss: -58.688864 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.000999 | Epoch Time: 68.303800 
Epoch [ 20/1300] | Train Loss: -58.597152 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.000999 | Epoch Time: 68.337236 
Epoch [ 21/1300] | Train Loss: -58.602441 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.000999 | Epoch Time: 68.209358 
Epoch [ 22/1300] | Train Loss: -58.619208 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.000999 | Epoch Time: 68.344121 
Epoch [ 23/1300] | Train Loss: -58.659327 | Val Loss: -55.748658 | Val PSNR: 28.951263 | Val SSIM: 0.830590 | Learning Rate: 0.000999 | Epoch Time: 68.262787 
