>> Starting Model Training
Start Time: Fri Dec 19 02:50:48 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: Network
    - model_dim: 32
    - patch_size: (256, 256)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 1300
    - batch_size: 8
    - learning_rate: 0.001
    - simo_loss: True
    - edge_loss: True
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_07/Network_d32.pth
    - num_workers: 8

Model initialized with 20342636 parameters
Training on device: cuda

No checkpoint provided, starting training from scratch.

Epoch [  1/1300] | Train Loss: -54.431502 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 186.542994 
>> Best model saved with SSIM: 0.81762

Epoch [  2/1300] | Train Loss: -55.683219 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 66.927833 
Epoch [  3/1300] | Train Loss: -55.869621 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 67.053692 
Epoch [  4/1300] | Train Loss: -56.344211 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 67.002618 
Epoch [  5/1300] | Train Loss: -56.629688 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 66.968433 
Epoch [  6/1300] | Train Loss: -56.696317 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 66.927188 
Epoch [  7/1300] | Train Loss: -56.869123 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 67.032946 
Epoch [  8/1300] | Train Loss: -57.004630 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 67.009369 
Epoch [  9/1300] | Train Loss: -54.664403 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 66.967667 
Epoch [ 10/1300] | Train Loss: -56.858834 | Val Loss: -53.271798 | Val PSNR: 28.444517 | Val SSIM: 0.817624 | Learning Rate: 0.001000 | Epoch Time: 66.815700 
