
# --------------------------------- Resuming Training --------------------------------- #

>> Starting Model Training
Start Time: Sat Dec 20 11:47:40 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: Network
    - model_dim: 32
    - patch_size: (512, 512)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 600
    - batch_size: 8
    - learning_rate: 0.0001
    - simo_loss: True
    - edge_loss: True
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_08/Network_d32.pth
    - weight_only: True
    - num_workers: 8

Model initialized with 20342636 parameters
Training on device: cuda

Resumed training from checkpoint at epoch 0


# --------------------------------- Resuming Training --------------------------------- #

>> Starting Model Training
Start Time: Sat Dec 20 11:47:58 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: Network
    - model_dim: 32
    - patch_size: (512, 512)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 600
    - batch_size: 4
    - learning_rate: 0.0001
    - simo_loss: True
    - edge_loss: True
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_08/Network_d32.pth
    - weight_only: True
    - num_workers: 8

Model initialized with 20342636 parameters
Training on device: cuda

Resumed training from checkpoint at epoch 0

Epoch [  1/600] | Train Loss: -65.653707 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 374.739117 
>> Best model saved with SSIM: 0.89579

Epoch [  2/600] | Train Loss: -65.720882 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 303.792093 
Epoch [  3/600] | Train Loss: -65.823492 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 323.423236 
Epoch [  4/600] | Train Loss: -65.926317 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 323.297293 
Epoch [  5/600] | Train Loss: -65.929131 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 297.248840 
Epoch [  6/600] | Train Loss: -65.947652 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 283.937665 
Epoch [  7/600] | Train Loss: -65.983586 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.574920 
Epoch [  8/600] | Train Loss: -65.989463 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 283.778648 
Epoch [  9/600] | Train Loss: -66.045130 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.177867 
Epoch [ 10/600] | Train Loss: -66.008104 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.700531 
Epoch [ 11/600] | Train Loss: -66.079830 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.025147 
Epoch [ 12/600] | Train Loss: -66.075796 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.534467 
Epoch [ 13/600] | Train Loss: -66.081190 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 283.725054 
Epoch [ 14/600] | Train Loss: -66.143619 | Val Loss: -58.507781 | Val PSNR: 30.328849 | Val SSIM: 0.895792 | Learning Rate: 0.000100 | Epoch Time: 284.109171 
Epoch [ 15/600] | Train Loss: -66.146581 | Val Loss: -58.548978 | Val PSNR: 30.325343 | Val SSIM: 0.895837 | Learning Rate: 0.000100 | Epoch Time: 373.192719 
>> Best model saved with SSIM: 0.89584

Epoch [ 16/600] | Train Loss: -66.131718 | Val Loss: -58.548978 | Val PSNR: 30.325343 | Val SSIM: 0.895837 | Learning Rate: 0.000100 | Epoch Time: 283.550681 
Epoch [ 17/600] | Train Loss: -66.236742 | Val Loss: -58.548978 | Val PSNR: 30.325343 | Val SSIM: 0.895837 | Learning Rate: 0.000100 | Epoch Time: 284.341243 
Epoch [ 18/600] | Train Loss: -66.194152 | Val Loss: -58.548978 | Val PSNR: 30.325343 | Val SSIM: 0.895837 | Learning Rate: 0.000100 | Epoch Time: 283.907886 
